시설물명,시설물구분,시설물종류,준공일,종별,위치,차기점검진단일,등급,최종점검진단일
대모산입구역사,건축물,철도역시설,20030903,2종,서울특별시 강남구 일원동,20171230,B등급,20141230
대구도시철도 3-010(학정) 역사,건축물,철도역시설,20141231,2종,대구광역시 북구 학정동,20181231,양호,20170521
대구도시철도 3-036(지산) 역사,건축물,철도역시설,20141231,2종,대구광역시 수성구 지산동,20181231,양호,20170521
원흥역사,건축물,철도역시설,20150530,2종,경기도 고양시 덕양구 원흥동,20190530,양호,20170630
강남구청역사,건축물,철도역시설,20121210,2종,서울특별시 강남구 삼성동,20191205,B등급,20161205
선정릉역사,건축물,철도역시설,20121210,2종,서울특별시 강남구 삼성동,20191205,B등급,20161205
연수역사,건축물,철도역시설,20121130,2종,인천광역시 연수구 벚꽃로,20201124,A등급,20161124
삼송역사,건축물,철도역시설,19950205,2종,경기도 고양시 덕양구 삼송동,20210417,A등급,20170417
경마공원역,건축물,철도역시설,19931223,2종,경기도 과천시 과천동,20181231,A등급,20141231
선바위역,건축물,철도역시설,19940331,2종,경기도 과천시 과천동,20181231,A등급,20141231
마두역사,건축물,철도역시설,19950205,2종,경기도 고양시 일산동구 중앙로,20200417,B등급,20170417
백석역사,건축물,철도역시설,19950205,2종,경기도 고양시 일산동구 백석동,20200417,B등급,20170417
범계역,건축물,철도역시설,19930713,2종,경기도 안양시 동안구 시민대로,20181231,A등급,20141231
대공원역,건축물,철도역시설,19931227,2종,경기도 과천시 대공원대로,20181231,A등급,20141231
대화역사,건축물,철도역시설,19950205,2종,경기도 고양시 일산서구 중앙로,20200417,B등급,20170417
정발산역사,건축물,철도역시설,19950205,2종,경기도 고양시 일산동구 중앙로,20210417,A등급,20170417
화정역사,건축물,철도역시설,19950205,2종,경기도 고양시 덕양구 화정로,20210417,A등급,20170417
신내역사,건축물,철도역시설,20131231,2종,서울특별시 중랑구 망우동,20171231,양호,20170516
과천역,건축물,철도역시설,19931227,2종,경기도 과천시 별양동,20181231,A등급,20141231
월곶역사,건축물,철도역시설,20131231,2종,경기도 시흥시 월곶중앙로14번길,20171231,양호,20170612
소래포구역사,건축물,철도역시설,20131231,2종,인천광역시 남동구 논현동,20171231,양호,20170612
인천논현역사,건축물,철도역시설,20131231,2종,인천광역시 남동구 논현동,20171231,양호,20170428
6호선 (6124) 망원역사,건축물,철도역시설,20010906,2종,서울특별시 마포구 월드컵로,20190523,B등급,20160523
7호선 (7174) 보라매역사,건축물,철도역시설,20001130,2종,서울특별시 동작구 상도로,20171126,B등급,20141126
7호선 (7194) 온수역사,건축물,철도역시설,20001130,2종,서울특별시 구로구 경인로3길,20171126,B등급,20141126
금촌역사,건축물,철도역시설,20100930,2종,경기도 파주시 새꽃로,20180926,A등급,20140926
파주역사,건축물,철도역시설,20100930,2종,경기도 파주시 주라위길,20180926,A등급,20140926
탄현역사,건축물,철도역시설,20100930,2종,경기도 고양시 일산서구 경의로,20210630,A등급,20170630
일산역사,건축물,철도역시설,20100930,2종,경기도 고양시 일산서구 일중로15번길,20210630,A등급,20170630
부산도시철도 4호선 서동역(407),건축물,철도역시설,20101231,2종,부산광역시 금정구 서동,20181226,A등급,20141226
경부선 서동탄역,건축물,철도역시설,20100830,2종,경기도 오산시 외삼미동,20171128,B등급,20141128
금릉역사,건축물,철도역시설,20111130,2종,경기도 파주시 금릉역로,20200128,A등급,20160128
운정역사,건축물,철도역시설,20111130,2종,경기도 파주시 풀무골로,20200128,A등급,20160128
대구지하철 2-063(영남대) 역사,건축물,철도역시설,20120829,2종,경상북도 경산시 대동,20181129,A등급,20141129
구성역사,건축물,철도역시설,20120331,2종,경기도 용인시 기흥구 마북동,20190622,B등급,20160622
아산역,건축물,철도역시설,20100722,2종,충청남도 아산시 배방읍 희망로,20200625,B등급,20170625
신창역,건축물,철도역시설,20100722,2종,충청남도 아산시 신창면 행목로,20200625,B등급,20170625
대구도시철도 3-029(건들바위) 역사,건축물,철도역시설,20141231,2종,대구광역시 남구 이천동,20181231,양호,20170521
대구도시철도 3-026(신남) 역사,건축물,철도역시설,20141231,2종,대구광역시 중구 남산동,20181231,양호,20170521
대구도시철도 3-027(남산) 역사,건축물,철도역시설,20141231,2종,대구광역시 중구 남산동,20181231,양호,20170521
대구도시철도 3-037(범물) 역사,건축물,철도역시설,20141231,2종,대구광역시 수성구 범물동,20181231,양호,20170521
대구지하철 1-028(명덕)역사,건축물,철도역시설,19971130,2종,대구광역시 중구 명덕로,20190115,B등급,20160115
대구지하철 1-026(교대)역사,건축물,철도역시설,19971130,2종,대구광역시 남구 대명동,20190115,B등급,20160115
백마역사,건축물,철도역시설,20100930,2종,경기도 고양시 일산동구 풍동,20180926,A등급,20140926
능곡역사,건축물,철도역시설,20101029,2종,경기도 고양시 덕양구 토당로,20210630,A등급,20170630
부산도시철도 4호선 반여농산물시장역(409),건축물,철도역시설,20100630,2종,부산광역시 해운대구 석대동,20180615,A등급,20140615
1호선 131 두실 역사,건축물,철도역시설,19850613,2종,부산광역시 금정구 중앙대로,20171031,A등급,20131031
대구지하철 1-020(안지랑)역사,건축물,철도역시설,19971130,2종,대구광역시 남구 대명로,20200115,A등급,20160115
3-068 경찰병원역,건축물,철도역시설,20100430,2종,서울특별시 송파구 중대로,20171231,A등급,20131231
3-070 오금역,건축물,철도역시설,20100430,2종,서울특별시 송파구 오금동,20171231,A등급,20131231
망우역사,건축물,철도역시설,20110110,2종,서울특별시 중랑구 망우로55길,20150110,,
3-066 가락시장역,건축물,철도역시설,20100430,2종,서울특별시 송파구 가락동,20201223,A등급,20161223
풍산역사,건축물,철도역시설,20100930,2종,경기도 고양시 일산동구 풍동,20180926,A등급,20140926
부평역,건축물,철도역시설,20000221,2종,인천광역시 부평구 광장로,20171121,B등급,20141121
부산도시철도 4호선 동래역(402),건축물,철도역시설,20110228,2종,부산광역시 동래구 충렬대로,20181226,A등급,20141226
부산도시철도 4호선 수안역(403),건축물,철도역시설,20110228,2종,부산광역시 동래구 수안동,20181226,A등급,20141226
부산도시철도 4호선 낙민역(404),건축물,철도역시설,20110228,2종,부산광역시 동래구 낙민동,20181226,A등급,20141226
부산도시철도 4호선 동부산대학역(412),건축물,철도역시설,20110410,2종,부산광역시 해운대구 반송동,20181226,A등급,20141226
대구도시철도 3-034(황금) 역사,건축물,철도역시설,20141231,2종,대구광역시 수성구 두산동,20181231,양호,20170521
대구도시철도 3-035(수성못) 역사,건축물,철도역시설,20141231,2종,대구광역시 수성구 두산동,20181231,양호,20170521
수서역사,건축물,철도역시설,19940901,2종,서울특별시 강남구 수서동,20171230,B등급,20141230
7호선 (7199)부천종합운동장역사,건축물,철도역시설,20121231,2종,경기도 부천시 원미구 길주로,20171126,B등급,20141126
