시설물명,시설물구분,시설물종류,준공일,종별,위치,차기점검진단일,등급,최종점검진단일
올림픽 홀,건축물,다중이용건축물,20030915,2종,서울특별시 송파구 올림픽로,20190531,B등급,20160531
김천시문화예술회관,건축물,다중이용건축물,20000329,2종,경상북도 김천시 운동장길,20180311,B등급,20150311
5.18기념문화관,건축물,다중이용건축물,20010415,2종,광주광역시 서구 쌍촌동,20190324,B등급,20160324
구리농수산물도매시장 수산2동,건축물,다중이용건축물,20030314,2종,경기도 구리시 동구릉로136번길,20181118,C등급,20151118
용인시 실내체육관,건축물,다중이용건축물,20030402,2종,경기도 용인시 경안천로,20180526,B등급,20150526
전라북도 군산의료원,건축물,다중이용건축물,20031114,2종,전라북도 군산시 지곡동 군산의료원,20180626,B등급,20150626
대전문화예술의전당,건축물,다중이용건축물,20030711,2종,대전광역시 서구 만년동,20190619,B등급,20160619
서울특별시보라매병원 진리관(별관),건축물,다중이용건축물,20030610,2종,서울특별시 동작구 보라매로5길,20171013,B등급,20141013
평택항 국제여객터미널,건축물,다중이용건축물,20021111,2종,경기도 평택시 포승읍 평택항만길,20200729,B등급,20170729
근로자종합복지회관,건축물,다중이용건축물,20000710,2종,울산광역시 남구 삼산중로,20190401,B등급,20160401
하남시 종합운동장 및 다목적체육관,건축물,다중이용건축물,20070608,2종,경기도 하남시 아리수로,20200411,B등급,20170411
한국마사회 분당지점,건축물,다중이용건축물,20020328,2종,경기도 성남시 분당구 황새울로311번길,20200630,B등급,20170630
야구장,건축물,다중이용건축물,19840619,2종,제주특별자치도 제주시 오라1동,20190410,B등급,20160410
서울시 서남권 농산물 도매시장 (관리.트럭판매동),건축물,다중이용건축물,20021231,2종,서울특별시 강서구 외발산동,20200529,B등급,20170529
청과물동,건축물,다중이용건축물,20010430,2종,대전광역시 유성구 노은동,20191006,B등급,20161006
대구학생 문화센터,건축물,다중이용건축물,20021102,2종,대구광역시 달서구 용산로,20200507,B등급,20170507
국군대구병원 본관동,건축물,다중이용건축물,19941220,2종,경상북도 경산시 대경로,20200630,B등급,20170630
국군고양병원 본관동,건축물,다중이용건축물,19891230,2종,경기도 고양시 덕양구 혜음로,20180324,B등급,20150324
유니버시아드테니스장,건축물,다중이용건축물,20030605,2종,대구광역시 달서구 두류동,20180930,C등급,20150930
김해시 구산운동장 및 실내체육관(실내체육관동),건축물,다중이용건축물,20040510,2종,경상남도 김해시 구산동,20191208,B등급,20161208
부안예술회관,건축물,다중이용건축물,20010203,2종,전라북도 부안군 부안읍 서외리,20200310,B등급,20170310
정신전력관,건축물,다중이용건축물,19960612,2종,충청남도 계룡시 신도안2길,20191216,B등급,20161216
김해시 구산운동장 및 실내체육관(지하주차장동),건축물,다중이용건축물,20040510,2종,경상남도 김해시 구산동,20190329,B등급,20160329
국군강릉병원 본관동,건축물,다중이용건축물,19941217,2종,강원도 강릉시 주문진읍 동해대로,20200630,B등급,20170630
항공의료원,건축물,다중이용건축물,19910320,2종,충청북도 청원군 남일면 효촌송암1길,20190531,B등급,20160531
광주광역시 서부 농수산물 도매시장 청과물동,건축물,다중이용건축물,20040126,2종,광주광역시 서구 매월2로,20190429,B등급,20160429
서울특별시동부병원,건축물,다중이용건축물,20020531,2종,서울특별시 동대문구 무학로,20200630,B등급,20170630
아양아트센터,건축물,다중이용건축물,20040310,2종,대구광역시 동구 효동로2길,20190624,B등급,20160624
포항의료원 신관동,건축물,다중이용건축물,19930730,2종,경상북도 포항시 북구 용흥로,20200831,C등급,20170831
광주서부농산물 도매시장 채소동,건축물,다중이용건축물,20040105,2종,광주광역시 서구 매월2로,20190429,B등급,20160429
광주서부농수산물 도매시장 수산물동,건축물,다중이용건축물,20040105,2종,광주광역시 서구 매월2로,20190429,B등급,20160429
공군회관,건축물,다중이용건축물,20030315,2종,서울특별시 영등포구 여의대방로,20200719,,
국립민속박물관,건축물,다중이용건축물,19730418,2종,서울특별시 종로구 세종로,20200420,C등급,20170420
해남문화예술회관,건축물,다중이용건축물,20020414,2종,전라남도 해남군 군청길,20190804,B등급,20160804
오산문화예술회관,건축물,다중이용건축물,20031117,2종,경기도 오산시 오산동,20181014,B등급,20151014
대구오페라하우스,건축물,다중이용건축물,20030805,2종,대구광역시 북구 호암로,20180604,B등급,20150604
평택시북부문화예술회관,건축물,다중이용건축물,19901130,2종,경기도 평택시 경기대로,20171225,B등급,20141225
안양시농수산물도매시장 청과동,건축물,다중이용건축물,19970325,2종,경기도 안양시 동안구 흥안대로,20200623,B등급,20170623
박정희체육관,건축물,다중이용건축물,20001229,2종,경상북도 구미시 박정희로,20180324,B등급,20150324
창원종합운동장,건축물,다중이용건축물,19930319,2종,경상남도 창원시 의창구 원이대로,20180524,C등급,20150524
시민회관,건축물,다중이용건축물,19731114,2종,부산광역시 동구 자성로133번길,20171210,B등급,20141210
강원랜드 하이원호텔,건축물,다중이용건축물,20000818,2종,강원도 정선군 고한읍,20190412,C등급,20160412
동해시문화예술회관,건축물,다중이용건축물,19950228,2종,강원도 동해시 천곡동,20191104,B등급,20161104
서울경마공원관람대,건축물,다중이용건축물,19880704,1종,경기도 과천시 경마공원대로,20171106,B등급,20151130
강릉실내빙상경기장,건축물,다중이용건축물,19981215,2종,강원도 강릉시 종합운동장길,20180214,C등급,20150214
구리농수산물도매시장 수산물동,건축물,다중이용건축물,19961214,2종,경기도 구리시 동구릉로136번길,20200123,C등급,20170123
과천시민회관,건축물,다중이용건축물,19950823,2종,경기도 과천시 통영로,20191217,B등급,20161217
예술의전당미술관,건축물,다중이용건축물,19900830,2종,서울특별시 서초구 서초동,20200630,B등급,20170630
예술의전당자료관,건축물,다중이용건축물,19900830,2종,서울특별시 서초구 서초동,20200630,B등급,20170630
부산보훈병원 본관동,건축물,다중이용건축물,19920901,2종,부산광역시 사상구 백양대로,20190520,B등급,20160520
농협창동농산물종합유통센터,건축물,다중이용건축물,19980410,2종,서울특별시 도봉구 마들로11길,20191217,B등급,20161217
경기도의료원 포천병원,건축물,다중이용건축물,19861231,2종,경기도 포천시 포천로,20171206,B등급,20141206
예술의전당1주차장,건축물,다중이용건축물,19871130,2종,서울특별시 서초구 서초동,20200630,B등급,20170630
삼척의료원,건축물,다중이용건축물,19750101,2종,강원도 삼척시 오십천로,20191125,B등급,20161125
광주실내수영장,건축물,다중이용건축물,19930915,2종,광주광역시 서구 금화로,20190412,C등급,20160412
야구장,건축물,다중이용건축물,19970218,2종,경상남도 창원시 마산회원구 삼호로,20180524,B등급,20150524
목포의료원,건축물,다중이용건축물,19810410,2종,전라남도 목포시 이로로,20171126,B등급,20141126
대구의료원,건축물,다중이용건축물,19870122,2종,대구광역시 서구 평리로,20200830,B등급,20170830
대구보훈병원,건축물,다중이용건축물,19941201,2종,대구광역시 달서구 월곡로,20190503,B등급,20160503
올림픽기념관,건축물,다중이용건축물,19920801,2종,경상남도 창원시 마산회원구 삼호로,20200719,B등급,20150524
인천학생교육문화회관,건축물,다중이용건축물,20041011,2종,인천광역시 중구 자유공원로,20190425,B등급,20160425
부천시민회관,건축물,다중이용건축물,19880430,2종,경기도 부천시 원미구 부일로,20200506,B등급,20170506
공무원연금관리공단수안보상록호텔,건축물,다중이용건축물,19890302,2종,충청북도 충주시 수안보면 주정산로,20181220,B등급,20151220
군산시월명체육관,건축물,다중이용건축물,19910920,2종,전라북도 군산시 사정동,20190610,C등급,20160610
하동공설운동장,건축물,다중이용건축물,19920101,2종,경상남도 하동군 적량면 고절리,20180712,B등급,20150712
논산 공설운동장,건축물,다중이용건축물,19970630,2종,충청남도 논산시 취암동,20190418,B등급,20160418
공설운동장,건축물,다중이용건축물,19911008,2종,전라북도 익산시 무왕로,20190630,C등급,20160630
익산시 실내체육관,건축물,다중이용건축물,19971208,2종,전라북도 익산시 무왕로,20190330,C등급,20160330
무주예체문화관,건축물,다중이용건축물,20020801,2종,전라북도 무주군 한풍루로,20200719,B등급,20051230
진주공설운동장,건축물,다중이용건축물,19680530,2종,경상남도 진주시 신안동,20191130,B등급,20161130
영암군 실내체육관,건축물,다중이용건축물,19920916,2종,전라남도 영암군 영암로,20190521,C등급,20160521
계룡스파텔,건축물,다중이용건축물,20010531,2종,대전광역시 유성구 온천로,20181012,B등급,20151012
청간정콘도,건축물,다중이용건축물,19990630,2종,강원도 고성군 토성면,20190601,C등급,20160601
서귀포호텔,건축물,다중이용건축물,19841224,2종,제주특별자치도 서귀포시  상예로,20190601,C등급,20160601
용인시여성회관,건축물,다중이용건축물,20040715,2종,경기도 용인시 문정로7번길,20190331,B등급,20160331
원주의료원,건축물,다중이용건축물,19930701,2종,강원도 원주시 서원대로,20180630,B등급,20150630
강릉의료원,건축물,다중이용건축물,19871120,2종,강원도 강릉시 경강로,20181229,B등급,20151229
근로복지공단 태백병원,건축물,다중이용건축물,19891220,2종,강원도 태백시 장성동,20190621,B등급,20160621
국립중앙의료원 본관동,건축물,다중이용건축물,19830630,2종,서울특별시 중구 을지로,20180807,B등급,20150807
용산중대병원,건축물,다중이용건축물,19780101,2종,서울특별시 용산구 한강로3가,20181220,C등급,20151220
서울특별시보라매병원 희망관(본관),건축물,다중이용건축물,19910930,2종,서울특별시 동작구 보라매로5길,20171013,B등급,20141013
인천광역시의료원,건축물,다중이용건축물,19970808,2종,인천광역시 동구 방축로,20200321,B등급,20170321
경상대학교병원응급센터동,건축물,다중이용건축물,19970215,2종,경상남도 진주시 강남로,20191205,B등급,20161205
광주종합체육관,건축물,다중이용건축물,19871005,2종,광주광역시 서구 화정동,20200608,B등급,20170608
엑스포아트홀,건축물,다중이용건축물,19930530,2종,대전광역시 유성구 도룡동,20191111,B등급,20161111
울산광역시문화예술회관,건축물,다중이용건축물,19950711,2종,울산광역시 남구 번영로,20191223,B등급,20161223
무등경기장 야구장,건축물,다중이용건축물,19650930,2종,광주광역시 북구 서림로,20181130,B등급,20151130
주경기장,건축물,다중이용건축물,19840619,2종,제주특별자치도 제주시 오라1동,20190404,C등급,20160404
양산문화예술회관,건축물,다중이용건축물,20021231,2종,경상남도 양산시 중앙로,20200229,B등급,20170228
주 경기장,건축물,다중이용건축물,20020430,1종,경기도 의정부시 녹양동,20180425,B등급,20160421
보조경기장,건축물,다중이용건축물,20011130,2종,경기도 성남시 분당구 탄천로,20200516,B등급,20170516
국군일동병원 본관동,건축물,다중이용건축물,19900721,2종,경기도 포천시 화현면 화동로,20180324,C등급,20150324
이충문화체육센타,건축물,다중이용건축물,20031010,2종,경기도 평택시 장안웃길,20200421,B등급,20170421
목포시민문화체육센터,건축물,다중이용건축물,20030514,2종,전라남도 목포시 부주로,20190910,B등급,20160910
마산시 농산물 도매시장,건축물,다중이용건축물,20030120,2종,경상남도 창원시 마산회원구 내서읍 중리,20180621,B등급,20150621
포항 여객청사,건축물,다중이용건축물,20020527,2종,경상북도 포항시 남구 일월로,20200101,B등급,20150921
국군부산병원 본관동,건축물,다중이용건축물,20030410,2종,부산광역시 해운대구 세실로,20190428,B등급,20160428
국군춘천병원 본관동,건축물,다중이용건축물,19961231,2종,강원도 춘천시 방고개길,20180324,B등급,20150324
가족문화센타,건축물,다중이용건축물,20020615,2종,울산광역시 남구 옥동,20190411,B등급,20160411
지방공사 충청남도 홍성의료원,건축물,다중이용건축물,20021222,2종,충청남도 홍성군 조양로,20191228,B등급,20161228
창원시자전거경기장,건축물,다중이용건축물,20001130,1종,경상남도 창원시 의창구 원이대로,20190712,B등급,20160712
국립제주박물관,건축물,다중이용건축물,20001228,2종,제주특별자치도 제주시 일주동로,20180417,B등급,20150417
대구 여객청사,건축물,다중이용건축물,20010626,2종,대구광역시 동구 공항로,20200622,B등급,20170622
광주 여객청사,건축물,다중이용건축물,19941118,2종,광주광역시 광산구 상무대로,20180921,B등급,20150921
광명 시민체육관,건축물,다중이용건축물,19931115,2종,경기도 광명시 오리로,20180227,B등급,20150227
국립부여박물관,건축물,다중이용건축물,19930806,2종,충청남도 부여군 금성로,20200108,B등급,20170108
충남대학교병원 소아병원,건축물,다중이용건축물,19930807,2종,대전광역시 중구 대사동,20190128,B등급,20160128
양양 여객청사,건축물,다중이용건축물,20020128,2종,강원도 양양군 손양면 공항로,20200101,A등급,20150821
농어민문화체육센터,건축물,다중이용건축물,20011228,2종,충청남도 서산시 갈산동,20181202,B등급,20151202
경정관람운영동,건축물,다중이용건축물,20020614,2종,경기도 하남시 미사대로,20200630,B등급,20170630
경주시실내체육관,건축물,다중이용건축물,19980915,2종,경상북도 경주시 용담로,20190625,C등급,20160625
세종문화예술회관,건축물,다중이용건축물,20001004,2종,충청남도 연기군 문예회관길,20180319,B등급,20150319
양산실내체육관,건축물,다중이용건축물,20001115,2종,경상남도 양산시 양산대로,20200825,B등급,20170825
부천종합운동장,건축물,다중이용건축물,20010131,1종,경기도 부천시 원미구 소사로,20180430,B등급,20160428
울산 여객청사,건축물,다중이용건축물,19971231,2종,울산광역시 북구 산업로,20191115,B등급,20161115
국가무형문화재전수교육관,건축물,다중이용건축물,19980404,2종,서울특별시 강남구 봉은사로,20180521,B등급,20150521
잠실실내체육관,건축물,다중이용건축물,19790530,2종,서울특별시 송파구 올림픽로,20200625,C등급,20170625
원당역사,건축물,다중이용건축물,19951201,2종,경기도 고양시 덕양구 고양대로,20181220,B등급,20151220
대곡역사,건축물,다중이용건축물,19951220,2종,경기도 고양시 덕양구 대장동,20181220,B등급,20151220
부산항국제여객터미널,건축물,다중이용건축물,20020726,2종,부산광역시 중구 중앙동,20181226,B등급,20151226
부산항연안여객터미널,건축물,다중이용건축물,19980720,2종,부산광역시 중구 대교로,20191221,B등급,20161221
봉산시장,건축물,다중이용건축물,19831204,2종,전라남도 여수시 봉산1로,20190210,C등급,20160210
창원시 농산물도매시장(청과동),건축물,다중이용건축물,19950804,2종,경상남도 창원시 의창구 차상로18번길,20190408,B등급,20160408
상록호텔,건축물,다중이용건축물,19980630,2종,충청남도 천안시 수신로,20180617,B등급,20150617
예술극장,건축물,다중이용건축물,19810414,2종,서울특별시 종로구 동숭동,20171125,B등급,20141125
장충체육관,건축물,다중이용건축물,19630501,2종,서울특별시 중구 동호로,20180622,B등급,20150622
문화예술회관,건축물,다중이용건축물,19980316,2종,전라남도 나주시 예향로,20200413,B등급,20170413
농수산물도매시장 관련상가A동,건축물,다중이용건축물,19961007,2종,대구광역시 북구 매천로18길,20180428,C등급,20150428
잠실제1수영장,건축물,다중이용건축물,19770101,2종,서울특별시 송파구 올림픽로,20190916,C등급,20160916
농수산물도매시장(수산동),건축물,다중이용건축물,19930419,2종,전라북도 전주시 덕진구 송천동2가,20180611,B등급,20150611
제주특별자치도문화예술진흥원(문예회관),건축물,다중이용건축물,19900215,2종,제주특별자치도 제주시 동광로,20200424,B등급,20170424
서울적십자병원제1병동,건축물,다중이용건축물,19860331,2종,서울특별시 종로구 새문안로,20180624,B등급,20150624
금정체육공원 테니스경기장,건축물,다중이용건축물,20020731,2종,부산광역시 금정구 체육공원로399번길,20171206,B등급,20141206
을숙도문화회관,건축물,다중이용건축물,20020905,2종,부산광역시 사하구 낙동남로1233번길,20190316,B등급,20160316
구월농축산물도매시장과일경매장,건축물,다중이용건축물,20001129,2종,인천광역시 남동 남동대로,20191006,B등급,20161006
충남대학교병원 응급의료센터,건축물,다중이용건축물,20020426,2종,대전광역시 중구 대사동,20190128,B등급,20160128
효창운동장,건축물,다중이용건축물,19601001,2종,서울특별시 용산구 효창원로,20200625,C등급,20170625
목동빙상장,건축물,다중이용건축물,19891031,2종,서울특별시 양천구 안양천로,20200625,B등급,20170625
올림픽제1체육관,건축물,다중이용건축물,19860531,1종,서울특별시 송파구 올림픽로,20180630,B등급,20150531
올림픽핸드볼경기장,건축물,다중이용건축물,19860531,2종,서울특별시 송파구 올림픽로,20200630,B등급,20170630
우리금융아트홀,건축물,다중이용건축물,19860531,2종,서울특별시 송파구 올림픽로,20180531,B등급,20150531
올림픽수영장,건축물,다중이용건축물,19880430,2종,서울특별시 송파구 올림픽로,20200630,B등급,20170630
올림픽벨로드롬,건축물,다중이용건축물,19860531,2종,서울특별시 송파구 올림픽로,20190531,B등급,20160531
올림픽테니스장,건축물,다중이용건축물,19860910,2종,서울특별시 송파구 올림픽로,20190531,B등급,20160531
한국마사회 대전지점 사옥,건축물,다중이용건축물,19990611,2종,대전광역시 서구 월평중로,20200630,B등급,20170630
강릉농산물도매시장,건축물,다중이용건축물,19990916,2종,강원도 강릉시 유산동,20200630,B등급,20170630
화산체육관(종합관),건축물,다중이용건축물,19961201,2종,전라북도 전주시 완산구 2가,20171030,B등급,20141030
화산체육관(빙상장),건축물,다중이용건축물,19961201,2종,전라북도 전주시 완산구 백제대로,20171030,B등급,20141030
전북대학교병원 본관동,건축물,다중이용건축물,19870702,2종,전라북도 전주시 덕진구 건지로,20200612,B등급,20170612
광주광역시비엔날레전시관,건축물,다중이용건축물,19950923,2종,광주광역시 북구 비엔날레로,20180708,B등급,20150708
강원대학교병원,건축물,다중이용건축물,19930830,2종,강원도 춘천시 백령로,20200625,B등급,20170625
제천체육관,건축물,다중이용건축물,19950829,2종,충청북도 제천시 숭의로,20180331,B등급,20150331
창원실내수영장,건축물,다중이용건축물,19971104,2종,경상남도 창원시 의창구 두대동,20180524,C등급,20150524
원주시농산물도매시장,건축물,다중이용건축물,20010106,2종,강원도 원주시 서원대로,20190510,B등급,20160510
목포문화예술회관,건축물,다중이용건축물,19970812,2종,전라남도 목포시 용해동,20190421,B등급,20160421
한국보훈복지의료공단보훈휴양원,건축물,다중이용건축물,19960824,2종,충청북도 충주시 가금면 수룡봉황길,20181110,B등급,20151110
대전광역시립미술관,건축물,다중이용건축물,19971230,2종,대전광역시 서구 만년동,20200515,B등급,20170515
안양체육관 및 빙상장,건축물,다중이용건축물,20001031,1종,경기도 안양시 동안구 비산3동,20180701,C등급,20160617
농수산물도매시장 관련상가B동,건축물,다중이용건축물,19960911,2종,대구광역시 북구 매천로18길,20180428,C등급,20150428
시립체육관,건축물,다중이용건축물,19780101,2종,인천광역시 중구 참외전로244번길,20190518,C등급,20160518
시립수영장,건축물,다중이용건축물,19780101,2종,인천광역시 중구 샛골로41번길,20190518,C등급,20160518
포항시 농산물 도매시장 청과1동,건축물,다중이용건축물,20010203,2종,경상북도 포항시북구 동해대로,20200630,B등급,20170630
포항시 농산물 도매시장 청과2동,건축물,다중이용건축물,20010203,2종,경상북도 포항시북구 동해대로,20200630,B등급,20170630
포항종합운동장,건축물,다중이용건축물,19850515,2종,경상북도 포항시 남구 희망대로,20171117,C등급,20141117
농산물도매시장 C동,건축물,다중이용건축물,19910122,2종,광주광역시 북구 동문대로,20200728,B등급,20170728
각화농산물도매시장 B동,건축물,다중이용건축물,19910207,2종,광주광역시 북구 동문대로,20200728,B등급,20170728
올림픽기념국민생활관,건축물,다중이용건축물,19910410,2종,전라남도 순천시 팔마로,20200414,B등급,20170414
반여농산물도매시장(관련상품동),건축물,다중이용건축물,20001128,2종,부산광역시 해운대구 수영강변대로,20200504,B등급,20170504
서울시립미술관,건축물,다중이용건축물,20020430,2종,서울특별시 중구 서소문동,20171224,B등급,20141224
전남대학교병원제5동,건축물,다중이용건축물,19941208,2종,광주광역시 동구 제봉로,20200830,B등급,20170830
전남대학교병원제6동,건축물,다중이용건축물,19941208,2종,광주광역시 동구 제봉로,20200830,B등급,20170830
전남대학교병원제7동,건축물,다중이용건축물,19941208,2종,광주광역시 동구 제봉로,20200830,B등급,20170830
전남대학교병원제8동,건축물,다중이용건축물,20001230,2종,광주광역시 동구 제봉로,20200830,B등급,20170830
포항시문화예술회관,건축물,다중이용건축물,19950320,2종,경상북도 포항시 남구 희망대로,20180410,B등급,20150410
파주시 시민회관,건축물,다중이용건축물,19940714,2종,경기도 파주시 아동동,20200922,B등급,20170922
서희청소년문화센터 ,건축물,다중이용건축물,19900219,2종,경기도 이천시 창전동,20190728,B등급,20160728
광주광역시문화예술회관,건축물,다중이용건축물,19920916,2종,광주광역시 북구 북문대로,20180526,B등급,20150526
포항체육관,건축물,다중이용건축물,19850605,2종,경상북도 포항시 남구 대도동,20171117,B등급,20141117
잠실제2수영장,건축물,다중이용건축물,19791110,2종,서울특별시 송파구 올림픽로,20200625,C등급,20170625
인천항연안여객터미널,건축물,다중이용건축물,19950930,2종,인천광역시 중구 연안부두로,20171218,B등급,20141218
인천항제1국제여객터미널,건축물,다중이용건축물,20000430,2종,인천광역시 중구 항동74가,20181220,B등급,20151220
목포항국제여객터미널,건축물,다중이용건축물,19980401,2종,전라남도 목포시 동명동,20191018,B등급,20161018
잠실야구장,건축물,다중이용건축물,19820828,1종,서울특별시 송파구 올림픽로,20190820,B등급,20160820
구덕주경기장,건축물,다중이용건축물,19730815,2종,부산광역시 서구 서대신동3가,20180327,C등급,20150327
구덕야구장,건축물,다중이용건축물,19710312,2종,부산광역시 서구 서대신동3가,20180327,C등급,20150327
구덕 실내체육관,건축물,다중이용건축물,19710312,2종,부산광역시 서구 서대신동3가,20190331,C등급,20160331
근로복지공단 창원병원,건축물,다중이용건축물,19940420,2종,경상남도 창원시 성산구 창원대로,20190630,B등급,20160630
종합운동장야구장,건축물,다중이용건축물,19851015,1종,부산광역시 동래구 사직로,20180223,C등급,20160229
종합운동장실내체육관,건축물,다중이용건축물,19850815,1종,부산광역시 동래구 사직로,20180223,B등급,20160229
전주종합운동장,건축물,다중이용건축물,19800920,2종,전라북도 전주시 덕진구 덕진동1가,20191103,C등급,20161103
충무체육관,건축물,다중이용건축물,19701210,2종,대전광역시 중구 대종로,20180629,B등급,20150629
주경기장,건축물,다중이용건축물,19790929,2종,대전광역시 중구 대종로,20180629,B등급,20150629
한밭체육관,건축물,다중이용건축물,19940823,2종,대전광역시 중구 대종로,20180629,B등급,20150629
한밭수영장,건축물,다중이용건축물,19941020,2종,대전광역시 중구 대종로,20171208,B등급,20141208
농수산물유통공사화훼공판장경매장,건축물,다중이용건축물,19910710,2종,서울특별시 서초구 강남대로,20171224,B등급,20141224
엄궁농산물도매시장(항도청과동),건축물,다중이용건축물,19930312,2종,부산광역시 사상구 엄궁동,20200330,C등급,20170330
엄궁농산물도매시장(부산청과동),건축물,다중이용건축물,19930312,2종,부산광역시 사상구 엄궁동,20200330,C등급,20170330
엄궁농산물도매시장(농협청과동),건축물,다중이용건축물,19930312,2종,부산광역시 사상구 엄궁동,20200330,C등급,20170330
엄궁농산물도매시장(직판장.관련상가동),건축물,다중이용건축물,19930312,2종,부산광역시 사상구 엄궁동,20200330,C등급,20170330
엄궁농산물도매시장(고추마늘동),건축물,다중이용건축물,19930312,2종,부산광역시 사상구 엄궁동,20200330,B등급,20170330
전주실내체육관,건축물,다중이용건축물,19730320,2종,전라북도 전주시 덕진구 1가,20190727,C등급,20160727
전주실내수영장,건축물,다중이용건축물,19910930,2종,전라북도 전주시 덕진구 덕진동1가,20181102,C등급,20151102
국립민속국악원,건축물,다중이용건축물,19961230,2종,전라북도 남원시 양림길,20190511,B등급,20160511
국립해양문화재연구소,건축물,다중이용건축물,19991228,2종,전라남도 목포시 남농로,20180515,B등급,20150515
계양문화회관,건축물,다중이용건축물,19971127,2종,인천광역시 계양구 계양산로35번길,20180429,B등급,20150429
인천서구문화회관,건축물,다중이용건축물,19950211,2종,인천광역시 서구 서달로,20200421,B등급,20170421
강릉종합경기장,건축물,다중이용건축물,19851010,2종,강원도 강릉시 종합운동장길,20180509,C등급,20150509
종합운동장,건축물,다중이용건축물,19940615,2종,강원도 속초시 노학동,20180323,B등급,20150323
화천문화예술회관,건축물,다중이용건축물,19970131,2종,강원도 화천군 상승로,20190622,B등급,20160622
농수산물유통공사중매인점포,건축물,다중이용건축물,19951208,2종,서울특별시 서초구 강남대로,20171224,B등급,20141224
포천반월아트홀,건축물,다중이용건축물,20031003,2종,경기도 포천시 군내면 청성로,20191130,B등급,20161130
서천수산물특화시장,건축물,다중이용건축물,20040611,2종,충청남도 서천군 충절로,20190806,B등급,20160806
금천구민문화체육센터,건축물,다중이용건축물,20010113,2종,서울특별시 금천구 독산로54길,20191115,B등급,20161115
국립대구박물관,건축물,다중이용건축물,19940531,2종,대구광역시 수성구 청호로,20171030,B등급,20141030
국립중앙극장,건축물,다중이용건축물,19731017,2종,서울특별시 중구 장충단로,20200811,B등급,20170811
마산실내체육관,건축물,다중이용건축물,19821010,2종,경상남도 창원시 마산회원구 삼호로,20180524,C등급,20150524
전주완산실내수영장,건축물,다중이용건축물,20040119,2종,전라북도 전주시 완산구 효자동2가,20181102,B등급,20151102
신라역사관,건축물,다중이용건축물,19751210,2종,경상북도 경주시 일정로,20171222,B등급,20141222
평촌아트홀,건축물,다중이용건축물,20040630,2종,경기도 안양시 동안구 호계동,20190617,B등급,20160617
재단법인 세종문화회관,건축물,다중이용건축물,19780414,1종,서울특별시 종로구 세종대로,20180210,C등급,20151204
서울대학교병원 소아연구동,건축물,다중이용건축물,19870427,2종,서울특별시 종로구 연건동 서울대학교병원,20191229,B등급,20161229
순천시문화예술회관,건축물,다중이용건축물,19930331,2종,전라남도 순천시 삼산로,20200316,B등급,20170316
근로복지공단 순천병원,건축물,다중이용건축물,19850502,2종,전라남도 순천시 조례1길,20171003,D등급,20151003
이천시 종합운동장,건축물,다중이용건축물,20010415,2종,경기도 이천시 부발읍 중부대로,20200318,B등급,20170318
평택시남부문예회관,건축물,다중이용건축물,19931025,2종,경기도 평택시 중앙로,20171225,B등급,20141225
(주)대전농산물유통센터,건축물,다중이용건축물,20011215,2종,대전광역시 중구 대둔산로199번길,20200711,B등급,20170711
김포 우리들병원,건축물,다중이용건축물,19980228,2종,서울특별시 강서구 과해동,20190902,B등급,20160902
김해 국내선청사,건축물,다중이용건축물,19921215,2종,부산광역시 강서구 대저2동,20200101,B등급,20151008
농수산물도매시장,건축물,다중이용건축물,19900217,2종,울산광역시 남구 삼산로,20190815,B등급,20160815
각화동농산물도매시장A동,건축물,다중이용건축물,19910207,2종,광주광역시 북구 동문대로,20200728,B등급,20170728
춘천시문화예술회관,건축물,다중이용건축물,19940607,2종,강원도 춘천시 효자1동,20200720,A등급,20160720
대구콘서트하우스,건축물,다중이용건축물,19821207,2종,대구광역시 중구 태평로2가,20200428,B등급,20170428
농수산물도매시장 농산A동,건축물,다중이용건축물,19880829,2종,대구광역시 북구 매천로18길,20180428,B등급,20150428
팔마실내체육관,건축물,다중이용건축물,19910201,2종,전라남도 순천시 팔마로,20200414,B등급,20170414
전남대학교병원제1동,건축물,다중이용건축물,19941208,2종,광주광역시 동구 제봉로,20200830,C등급,20170830
전남대학교병원제2동,건축물,다중이용건축물,19941208,2종,광주광역시 동구 제봉로,20200830,B등급,20170830
전남대학교병원제3동,건축물,다중이용건축물,19941208,2종,광주광역시 동구 제봉로,20200830,B등급,20170830
KBS스포츠월드,건축물,다중이용건축물,19861110,2종,서울특별시 강서구 공항대로,20180624,B등급,20150624
부산문화회관소강당,건축물,다중이용건축물,19920416,2종,부산광역시 남구 대연4동,20200329,B등급,20170329
부산문화회관주차동,건축물,다중이용건축물,19941114,2종,부산광역시 남구 대연4동,20180930,B등급,20150930
금정문화회관,건축물,다중이용건축물,20000331,2종,부산광역시 금정구 체육공원로,20190328,B등급,20160328
서구문화회관,건축물,다중이용건축물,19980305,2종,대구광역시 서구 당산로,20190613,B등급,20160613
인천시종합문화예술회관,건축물,다중이용건축물,19940112,2종,인천광역시 남동구 구월동,20190629,B등급,20160629
국립국악원,건축물,다중이용건축물,19961030,2종,서울특별시 서초구 서초동,20200623,B등급,20170623
예술의전당오페라하우스,건축물,다중이용건축물,19930215,2종,서울특별시 서초구 서초동,20200630,B등급,20170630
예술의전당음악당,건축물,다중이용건축물,19880215,2종,서울특별시 서초구 서초동,20200630,B등급,20170630
예술의전당서예관,건축물,다중이용건축물,19880215,2종,서울특별시 서초구 서초동,20200630,B등급,20170630
